Frame,,,,,,,
,,,,,,,
Aether MK1 Frame,,,,"Includes everything which doesn't have multiple options i.e the different options for hotends, extruders, gantrys ect. As those options have differing BOMs.",,,
,Extrusion,,,,,,
,,M5 Stamped T-Nut,24,Most post assembly T-Nuts should work for this.,,,
,,M3 Stamped T-Nut,20,Most post assembly T-Nuts should work for this.,,,
,,20x20x200 Extrusion,1,Optional if using the onboard PSU. Misumi extrusion is ideal. V-Slot is supported but less ideal as the rails sit into the extrusion slots a bit. ,,,
,,20x40x250 Extrusion,1,Misumi extrusion is ideal. V-Slot is supported but less ideal as the rails sit into the extrusion slots a bit. ,,,
,,40x40x265 Extrusion,1,Misumi extrusion is ideal. V-Slot is supported but less ideal as the rails sit into the extrusion slots a bit. ,,,
,Motion,,,,,,
,,MGN9Hx180mm Rail and Carriage,5,A few places including KB3D offer it in this length.,,,
,,20T Pulley for 6mm Wide Belt and 5mm Shaft,2,,,,
,,20T Idler for 6mm Wide Belt and 5mm Shaft,2,Use the gates style ones with the small flang the ones with a bigger flang will not work.,,,
,,GT2 6mm Belt 110cm,1,,,,
,,10x4x3 flange Bearing (F623ZZ),8,,,,
,,NEMA 17 48mm,2,Use 42STH47-2504AC Speedy Power paired with 5160 Pro drivers for speed. Use 42STH48-1684MAC paired with 2209 drivers for better sensorless homing and quality.,,,
,,Nema 17 Integrated Lead Screw 200-210mm,1,200mm to 210mm long will work fine. I would choose based on which one is easier to obtain.,,,
,,8x22x7 Bearing (608 2RS),1,,,,
,Hardware,,,,,,
,,M3x6 SHCS,22,,,,
,,M3x8 SHCS,10,,,,
,,M3x12 SHCS,4,,,,
,,M3x16 SHCS,15,,,,
,,M3x8 BHCS,2,,,,
,,M3x10 BHCS,1,,,,
,,M3x20 BHCS,4,,,,
,,M3x5 Ultra Low Profile Screw,1,,,,
,,M3x10 CS,12,,,,
,,M3 Nylon Insert Nut,13,,,,
,,M3 Washer,24,,,,
,,M5x10 BHCS,22,,,,
,,M5x16 BHCS,17,,,,
,,M5x25 BHCS,2,,,,
,,M5 Nylon Insert Nut,3,You only need one if using the onboard PSU.,,,
,,M3x5x4 Heat Set Insert,15,,,,
,,Rubber Foot (OpenBuilds or Printed TPU),3,You only need one if using the onboard PSU.,,,
,,PC4-M10 Pneumatic Coupling,1,,,,
,,4mm PTFE tubing 83mm(3.25in),2,Used for the spool holder.,,,
,,4mm PTFE tubing 400mm(15.75in),1,Used for the reverse bowden tube.,,,
,,10mm Long x 6mm Hex Standoff,1,Used in the middle of the heatbed.,,,
,,M3 Knurled Thumb Nuts,4,,,,
,Bed,,,,,,
,,PCB Heater ,1,Custom PCB heater. All files are on the github and you can have it made by PCBway. I am also currently going to ship them at cost to anyone interested.,,,
,,Kapton Tape ,1,Used to mount the thermistor.,,,
,,3950 Glass Bead Thermistor ,1,I like Crealitys ones meant for the ender 3. You can order them in a 5 pack.,,,
,,8429T14 Ring Terminals,2,For connecting the heated bed cable to the heated bed. It has the mcmaster part number for them. ,,,
,,Thermal Paste or Grease,,Used when inserting the thermistor to ensure proper heat transfer.,,,
,,Spring Steel Plate,1,I get mine cut by send cut send. Needs kapton or your surface of choice adhered on.,,,
,,Build Plate Surface,1,I like kapton but use any adhesive surface you want.,,,
,,Adhesive Magnet,1,I like KB3Ds magnets. Needs to be cut to size and needs a hole in the middle for the center screw.,,,
,,16 AWG Silicone Wire,,For the heated bed cable. ,,,
,,20-24 AWG Wire,,You may need wire to extend the thermistor.,,,
,,Heat Shrink Tubing,,,,,
,,Solder,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Gantrys,,,,,,,
,,,,,,,
Aluminum Gantry,,,,Probably my preferred option. Its far more rigid than the plastic gantry and allows identical print quality to the MK3.1. Downside being its a bit more complicated and about 20$ more expensive. You also have to source the aluminum parts.,,,
,Hardware,,,,,,
,,M3x6 SHCS,17,,,,
,,M3x10 SHCS,2,,,,
,,M3x12 SHCS,2,,,,
,,M3x16 SHCS,2,,,,
,,M3x20 SHCS,8,,,,
,,M3x10 Set Screw,1,,,,
,,M3 Nylon Insert Nut,2,,,,
,,M3x5x4 Heat Set Insert,10,,,,
,,MakerBeam XL T-Nut (Or Equivalent),10,,,,
,,15x15x182 Extrusion,1,Can be Misumi extrusion or MakerBeam. ,,,
,Sheet Cut Parts,,,,,,
,,Aluminum Carriage Plate,1,DXF is provided on github. Should be made from 3mm(1/8in) 5052 aluminum. Has a single 90 degree bend. Can be obtained from sendcutsend or I have a small stock I can provide at cost on discord. ,,,
,,Aluminum Carriage Plate Side,1,DXF is provided on github. Should be made from 3mm(1/8in) 5052 aluminum. Get this tumbled unless you want to deburr it yourself. Can be obtained from sendcutsend or I have a small stock I can provide at cost on the discord. ,,,
,,Aluminum Bed Bracket,1,DXF is provided on github. Should be made from 3mm(1/8in) 5052 aluminum. Get this deburred unless you want to deburr it yourself. Can be obtained from sendcutsend or I have a small stock I can provide at cost on the discord. ,,,
,,,,,,,
Plastic Gantry,,,,"Easier to source for, cheaper, and simplier since it uses only 3D printed parts in place of aluminum. The downside being it is unsurprisingly way less rigid and will result in more deflection and worse print quality at speed.",,,
,Hardware,,,,,,
,,M3x16 SHCS,10,,,,
,,M3x20 SHCS,1,,,,
,,M3x10 CS,8,,,,
,,M3x20 CS,8,,,,
,,M3x5x4 Heat Set Insert,18,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Controllers,,,,,,,
,,,,,,,
BTT Manta M5P,,,,,,,
,Hardware,,,,,,
,,M3x8 SHCS,2,,,,
,,M3x10 SHCS,6,,,,
,,M3x20 SHCS,6,,,,
,,M3 Nylon Insert Nut,2,This is optional. Used only if using an external PSU. Not needed if using an onboard PSU.,,,
,,M3x10 CS,2,This is optional. Used only if using an external PSU. Not needed if using an onboard PSU.,,,
,,M3x5x4 Heat Set Insert,14,,,,
,,M5x10 BHCS,4,,,,
,,M5 Stamped T-Nut,4,,,,
,,Stabilizer Foot (Printed TPU),2,,,,
,Components,,,,,,
,,Manta M5P,1,,,,
,,"CB1, CB2 or CM4",1,If using the CB1 make sure to pickup a heat sink too. It runs really hot.,,,
,,TMC2209 or TMC5160 Pro Stepper Drivers,4,Use 2209s for the Z and E axis. Use 2209s or 5160 pros for the XY. The 5160s are better for speed the 2209s are cheaper and their sensorless homing works better.,,,
,,16GB SD Card,1,Unless using EMMc you will need this for the host.,,,
,,5015 24v Blower Fan,1,,,,
,,XT60E-F,1,This is optional. Used only if using an external PSU. Not needed if using an onboard PSU.,,,
,,6mm(1/4in) Split Cable Sleeve 450mm(17.75in),1,This is for the bed.,,,
,,3mm(1/8in) Split Cable Sleeve 150mm(6in),3,These are for the stepper motors.,,,
,,13mm(1/2in) Split Cable Sleeve 575mm(22.625in),1,For the main toolhead cable bundle.,,,
,,Ferrule Crimps,,Used to terminate the wires for VIN and the heaters.,,,
,,14-16 AWG Wire,,Cut to length for VIN ,,,
,,Heat Shrink Tubing,,,,,
,,Solder,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Power Supplies,,,,,,,
,,,,,,,
External Power Supply,,,,Sits on the table next to the printer.,,,
,Hardware,,,,,,
,,M3x10 BHCS,2,,,,
,,M3 Nut,2,,,,
,,M4x6 BHCS,4,,,,
,,M4x8 BHCS,2,,,,
,Components,,,,,,
,,IEC-GS-1-100 Receptacle with Fuse,1,,,,
,,5mm Fork Terminal 14-16 AWG,5,,,,
,,5mm Spade Terminal 14-16 AWG,7,,,,
,,14-16 AWG Wire 125mm(5in) ,5,The long wires from the panel mounted connectors to the power supply should be about 125mm(5in) Too long or short will make it hard to slide the cover on.,,,
,,14-16 AWG Wire 25mm(1in),2,These are for the jumpers to the fuse and from the fuse to the switch.,,,
,,14-16 AWG Wire 300mm(12in),2,These are for the power cable from the PSU to the Control Box.,,,
,,Amass XT60 Connector (Female),2,These are for the power cable from the PSU to the Control Box.,,,
,,13mm(1/2in) Split Cable Sleeve 300mm(12in),1,This is for the power cable from the PSU to the Control Box.,,,
,,Power Cord C13,1,,,,
,,8A Fuse,1,,,,
,,Meanwell 200W or 350W Power Supply,1,Depending on your exact components a 200W PSU might be enough. If you're running a high power hotend or stepper drivers you might need a 350W PSU.,,,
,,Heat Shrink Tubing,,,,,
,,Solder,,,,,
,,,,,,,
EPP/LOP Onboard Power Supply BOM,,,,Sits under the front of the frame next to the MCU enclosure.,,,
,Hardware,,,,,,
,,M3x8 SHCS,8,,,,
,,M3x10 SHCS,3,,,,
,,M3x20 SHCS,2,,,,
,,M3x10 CS,2,Countersunk,,,
,,M5x10 BHCS,4,,,,
,,M5 Stamped T-Nut,4,,,,
,,M3x5x4 Heat Set Insert,11,,,,
,Components,,,,,,
,,24V EPP or LOP Power Supply,1,"I would advise getting the LOP power supply unless you already have a EPP series on hand. The LOP is newer, smaller, and the 300W LOP is the same price as a 200W EPP. Either the 200W or 300W one will work fine.",https://www.digikey.com/en/products/detail/mean-well-usa-inc/epp-200-24/7703124,https://www.digikey.com/en/products/detail/mean-well-usa-inc/LOP-200-24/22040939,https://www.digikey.com/en/products/detail/mean-well-usa-inc/LOP-300-24/22040910
,,VHR-3N,1,3 Pin Connector for the AC in. These are a little hard to find,https://www.digikey.com/en/products/detail/jst-sales-america-inc/VHR-3N/608625,,
,,VHR-6N,1,6 Pin Connector for the DC out. These are a little hard to find,https://www.digikey.com/en/products/detail/jst-sales-america-inc/VHR-6N/608628,,
,,SVH-41T-P1.1,4,Crimped contacts for the 18 AWG AC in and 16 AWG DC out wires. You should probably buy a few extra.,https://www.digikey.com/en/products/detail/jst-sales-america-inc/SVH-41T-P1-1/608760,,
,,SVH-21T-P1.1,2,Crimped contacts for the 22 AWG JST lead for the cooling fan. Optional if you decide to power the fan from the MCU board. You should probably buy a few extra.,https://www.digikey.com/en/products/detail/jst-sales-america-inc/SVH-21T-P1-1/527368,,
,,JST-XH 2.54mm Plug Lead,1,Used to connect the fan to the 24V DC out. Needs to be 22 AWG. Optional if you decide to power the fan from the MCU board.,https://www.amazon.com/dp/B096DSGJLD?th=1,,
,,C14 Inlet with Switch ,1,The important thing is to make sure its the correct style as seen in the instructions and link.,https://www.amazon.com/dp/B0BCYYNRGP?th=1,,
,,C13 Power Cord,1,Buy which ever length you need. ,https://www.amazon.com/Standard-Electronics-Computer-Printer-Monitor/dp/B09VRLJD7J/ref=1,,
,,5015 24V Blower Fan,1,Should be 24V unless you plan to power it off the PSU boards specific fan connector in which case you will need 12V.,https://www.amazon.com/GDSTIME-Cooling-Brushless-Hydraulic-Humidifier/dp/B0DLKNMH5R/ref=1,,
,,2.5mm(.1in) Wide Zip Tie ,1,,,,
,,16 AWG Wire,,Cut to length for 24V DC out. While the amount needed varies 175mm(7in) Should be enough for most setups.,,,
,,6mm(1/4in) Split Cable Sleeve 25mm(1in),,This is for the gap between the PSU and MCU enclosures.,,,
,,,,,,,
,,,,,,,
,,,,,,,
Extruder Adapters,,,,,,,
,,,,,,,
Orbiter Extruder Adapter,,,,,,,
,Hardware,,,,,,
,,M3x10 SHCS,2,,,,
,,M3x5x4 Heat Set Insert,6,,,,
,Components,,,,,,
,,Orbiter v2.5,1,,,,
,,,,,,,
LGX Extruder Adapter,,,,,,,
,Hardware,,,,,,
,,M3x8 SHCS,4,,,,
,,M3x12 SHCS,2,,,,
,,M3x5x4 Heat Set Insert,4,,,,
,Components,,,,,,
,,LGX,1,,,,
,,,,,,,
Galileo 2 Extruder Adapter,,,,,,,
,Hardware,,,,,,
,,M3x12 SHCS,2,,,,
,,M3x5x4 Heat Set Insert,6,,,,
,Components,,,,,,
,,Galileo 2 Standalone,1,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Hotend Adapters,,,,,,,
,,,,,,,
Bambu X1 Style Hotend Adapter,,,,,,,
,Hardware,,,,,,
,,M2.5x6 SHCS,2,,,,
,,M3x12 SHCS,2,,,,
,,M3x20 SHCS,6,,,,
,,M3x25 SHCS,2,,,,
,,M3x12 SHCS,4,,,,
,,M3x5x4 Heat Set Insert,12,,,,
,Components,,,,,,
,,X1 Style Hotend,1,This could be the OEM or any of its many replacements,,,
,,5015 24v Blower Fan,2,,,,
,,4010 24v Axial Fan,1,,,,
,,Fan Extension Cable,3,I like E3Ds cables as they come with micro fit connectors.,,,
,,Thermistor Extension Cable,1,I like E3Ds cables as they come with micro fit connectors.,,,
,,Heater Extension Cable,1,I like E3Ds cables as they come with micro fit connectors.,,,
,,Connectors,,"These are for the fans, heater and thermistor. I like molex micro fit connectors but feel free to use anything with a high enough current rating.",,,
Probes,,,,,,,
,,,,,,,
BL Touch,,,,,,,
,Hardware,,,,,,
,,M3x8 SHCS,2,,,,
,,M3x10 SHCS,2,,,,
,Components,,,,,,
,,BL Touch,1,Get the one with the 1m extension cable,,,
,,,,,,,
Mosquito Hotend Adapter,,,,,,,
,Hardware,,,,,,
,,M2.5x10 SHCS,2,The mosquito should ship with these,,,
,,M3x12 SHCS,2,,,,
,,M3x20 SHCS,6,,,,
,,M3x12 SHCS,4,,,,
,,M3x5x4 Heat Set Insert,10,,,,
,Components,,,,,,
,,Mosquito ,1,,,,
,,5015 24v Blower Fan,2,,,,
,,4010 24v Axial Fan,1,,,,
,,Fan Extension Cable,3,I like E3Ds cables as they come with micro fit connectors.,,,
,,Thermistor Extension Cable,1,I like E3Ds cables as they come with micro fit connectors.,,,
,,Heater Extension Cable,1,I like E3Ds cables as they come with micro fit connectors.,,,
,,Connectors,,"These are for the fans, heater and thermistor. I like molex micro fit connectors but feel free to use anything with a high enough current rating.",,,
Probes,,,,,,,
,,,,,,,
BL Touch,,,,,,,
,Hardware,,,,,,
,,M3x10 SHCS,2,,,,
,,M3x12 SHCS,2,,,,
,Components,,,,,,
,,BL Touch,1,Get the one with the 1m extension cable,,,
,,,,,,,
Revo Hotend Adapter,,,,,,,
,Hardware,,,,,,
,,M2.5x8 SHCS,4,I don't remember if it ships with these,,,
,,M3x12 SHCS,2,,,,
,,M3x20 SHCS,6,,,,
,,M3x12 SHCS,4,,,,
,,M3x5x4 Heat Set Insert,10,,,,
,Components,,,,,,
,,Revo,1,,,,
,,5015 24v Blower Fan,2,,,,
,,4010 24v Axial Fan,1,,,,
,,Fan Extension Cable,3,I like E3Ds cables as they come with micro fit connectors.,,,
,,Thermistor Extension Cable,1,Depending which options you choose the Revo should come with this.,,,
,,Heater Extension Cable,1,Depending which options you choose the Revo should come with this.,,,
,,Connectors,,"These are for the fans, heater and thermistor. I like molex micro fit connectors but feel free to use anything with a high enough current rating.",,,
Probes,,,,,,,
,,,,,,,
BL Touch,,,,,,,
,Hardware,,,,,,
,,M3x10 SHCS,2,,,,
,,M3x12 SHCS,2,,,,
,Components,,,,,,
,,BL Touch,1,Get the one with the 1m extension cable,,,
